Company Name,HQ Location,AUM,Type,Area
BOCOM International Asset Management,Hong Kong,85,"China Fixed Income, Equity",Hong Kong
China Southern Asset Management (HK),Hong Kong,90,"China Mutual Funds, ETFs",Hong Kong
CICC Asset Management (HK),Hong Kong,110,"Institutional, China Equities",Hong Kong
GF International Investment Management,Hong Kong,70,"China Equities, Fixed Income",Hong Kong
Harvest Global Investments,Hong Kong,95,"Mutual Funds, ESG, China Focus",Hong Kong
China Universal Asset Management (HK),Hong Kong,88,"Equities, Fixed Income, Institutional",Hong Kong
Haitong International Asset Management,Hong Kong,82,"Fixed Income, Structured Products",Hong Kong
ICBC Credit Suisse Asset Management (HK),Hong Kong,77,"China Mutual Funds, Equities",Hong Kong
Bosera Asset Management (HK),Hong Kong,60,"China Equity, Mutual Funds",Hong Kong
CSOP Asset Management,Hong Kong,100,"ETFs, China Equities, Index Funds",Hong Kong
China Merchants Securities (HK),Hong Kong,80,"China Equity, Wealth Management",Hong Kong
China Galaxy Asset Management (HK),Hong Kong,65,"Institutional, Equities, China Focus",Hong Kong
Huatai-PineBridge (HK),Hong Kong,72,"Mutual Funds, Institutional, China Markets",Hong Kong
ABCI Asset Management,Hong Kong,66,"China Equities, Fixed Income",Hong Kong
Great Wall Fund Management (HK),Hong Kong,58,"China Fixed Income, Mutual Funds",Hong Kong
Essence International Asset Management,Hong Kong,50,"Wealth Management, China Focus",Hong Kong
Tianhong Asset Management (HK),Hong Kong,62,"Index Funds, Fixed Income",Hong Kong
Ping An Asset Management (HK),Hong Kong,105,"Insurance, Institutional, China Strategies",Hong Kong
CCB International Asset Management,Hong Kong,78,"Equities, Fixed Income, Institutional",Hong Kong
SinoPac Asset Management (Asia),Hong Kong,55,"Multi-asset, Taiwan & China Focus",Hong Kong
