Company Name,HQ Location,AUM (Billion USD),Type,area
HSBC Global Asset Management,Hong Kong,620,"Institutional, ESG, Fixed Income",Hong Kong
Value Partners Group,Hong Kong,160,"Equity, Hedge Funds, China Focus",Hong Kong
BOCI-Prudential Asset Management,Hong Kong,100,"China Fixed Income, Mutual Funds",Hong Kong
Hang Seng Investment Management,Hong Kong,90,"ETFs, Index Funds, Hong Kong Equities",Hong Kong
Principal Hong Kong,Hong Kong,120,"Retirement Solutions, MPF Schemes",Hong Kong
Manulife Investment Management,Hong Kong,800,"Institutional, Retirement, Asia Real Assets",Hong Kong
Allianz Global Investors (HK),Hong Kong,600,"Multi-asset, ESG, Global Equity",Hong Kong
AIA Investment Management,Hong Kong,100,"Insurance-related, Asia Fixed Income",Hong Kong
E Fund Management (HK),Hong Kong,300,"China Equity, Fixed Income, Institutional",Hong Kong
ChinaAMC (HK),Hong Kong,250,"ETFs, Mutual Funds, China Focus",Hong Kong
