name,type,hqLocation,area,AUM
Citadel,Hedge Fund,"Chicago, IL, USA",Global,>$66B
Bridgewater Associates,Hedge Fund,"Westport, CT, USA",Global,>$124B
Renaissance Technologies,Hedge Fund,"East Setauket, NY, USA",Global,~$130B (incl. non-hedge assets)
Millennium Management,Hedge Fund,"New York, NY, USA",Global,>$61B
Man Group,Hedge Fund,"London, UK",Global,>$161B (incl. long-only)
Two Sigma Investments,Hedge Fund,"New York, NY, USA",Global,>$60B
AQR Capital Management,Hedge Fund,"Greenwich, CT, USA",Global,>$95B (incl. traditional assets)
D.E. Shaw Group,Hedge Fund,"New York, NY, USA",Global,>$60B
Baupost Group,Hedge Fund,"Boston, MA, USA",US-focused,~$30B
Elliott Management,Hedge Fund,"New York, NY, USA",Global,~$60B
Third Point,Hedge Fund,"New York, NY, USA",Global,~$14B
Pershing Square Capital,Hedge Fund,"New York, NY, USA",US/Global,~$10B
Marshall Wace,Hedge Fund,"London, UK",Global,>$70B
Appaloosa Management,Hedge Fund,"Miami Beach, FL, USA",US,~$13B
Point72 Asset Management,Hedge Fund,"Stamford, CT, USA",Global,~$32B
Lone Pine Capital,Hedge Fund,"Greenwich, CT, USA",Global,~$36B
Davidson Kempner Capital,Hedge Fund,"New York, NY, USA",Global,~$38B
Anchorage Capital Group,Hedge Fund,"New York, NY, USA",Global,~$20B
Element Capital Management,Hedge Fund,"New York, NY, USA",Global Macro,~$17.5B
BlueCrest Capital Management,Hedge Fund,"Jersey (UK), HQ Ops in New York",Global,~$30B+
