Fund Name,Ticker,Company,AUM (Billion USD),Type
Vanguard Total Stock Market Index Fund,VTSAX,Vanguard,1800,Index
Vanguard 500 Index Fund,VFIAX,Vanguard,1400,Index
Fidelity 500 Index Fund,FXAIX,Fidelity,619,Index
Vanguard Total International Stock Index Fund,VTIAX,Vanguard,398,Index
Vanguard Total Bond Market Index Fund,VBLTX,Vanguard,432,Index
Vanguard Total Bond Market II Index Fund,VTBIX,Vanguard,275,Index
Vanguard Institutional Index Fund,VINIX,Vanguard,270,Index
American Funds Growth Fund of America,AGTHX,American Funds,284,Growth
Fidelity Contrafund,FCNTX,Fidelity,158,Growth
Allianz PIMCO Total Return Fund,PTTAX,PIMCO,263,Other
