Fund Name,Company,AUM (Billion USD),Type,Own Our Shares,Share Amount
American Funds Europacific Growth Fund,American Funds,152,Growth,,
American Funds Investment Company of America,American Funds,111,Value,,
American Funds Washington Mutual Investors Fund,American Funds,112,Value,,
T. Rowe Price Blue Chip Growth Fund,T. Rowe Price,108,Growth,,
Dodge & Cox Stock Fund,Dodge & Cox,100,Value,,
Franklin Income Fund,Franklin Templeton,90,Other,,
JPMorgan Large Cap Growth Fund,J.P. Morgan,87,Growth,,
MFS Value Fund,MFS Investment Management,83,Value,,
Invesco Comstock Fund,Invesco,79,Value,,
Fidelity Growth Company Fund,Fidelity,75,Growth,,
