Company Name / 회사명,Type / 유형,HQ Location / 본사 위치,Area / 지역,AUM ($Bil),AUM (억원),AREA(지역),주주여부
DS투자증권,Mutual,서울,0, 0 ," 1,221 ",Korea,
IBK투자증권,Mutual,서울,0, 0 ," 1,787 ",Korea,
PEI korea M&A,Mutual,서울,0, 0 , 8 ,Korea,
가이아자산운용,Mutual,서울,0, - , - ,Korea,
갤럭시자산운용,Mutual,서울,0, 0 ," 1,018 ",Korea,
골든브릿지자산운용,Mutual,서울,0, 0 ," 1,264 ",Korea,
교보악사자산운용,Mutual,서울,0, 36 ," 502,862 ",Korea,
교보에이아이엠자산운용,Mutual,서울,0, 1 ," 7,413 ",Korea,
교보증권,Mutual,서울,0, 1 ," 20,476 ",Korea,
구도자산운용,Mutual,서울,0, - , - ,Korea,
국제자산운용,Mutual,서울,0, 0 , 621 ,Korea,
그래디언트자산운용,Mutual,서울,0, 0 , 354 ,Korea,
그래비티자산운용,Mutual,서울,0, 1 ," 7,958 ",Korea,
그레이스자산운용,Mutual,서울,0, 0 , 174 ,Korea,
그로쓰힐자산운용,Mutual,서울,0, 1 ," 8,855 ",Korea,
그린하버자산운용,Mutual,서울,0, 0 , 400 ,Korea,
글로벌원자산운용,Mutual,서울,0, 0 , 431 ,Korea,
글로벌자산운용,Mutual,서울,0, 0 , 61 ,Korea,
나눔자산운용,Mutual,서울,0, 0 ," 1,195 ",Korea,
나무자산운용,Mutual,서울,0, 0 , 108 ,Korea,
나이스자산운용,Mutual,서울,0, 0 ," 1,425 ",Korea,
넥서스자산운용,Mutual,서울,0, 0 , 209 ,Korea,
누림자산운용,Mutual,서울,0, 0 , 345 ,Korea,
다올자산운용,Mutual,서울,0, 6 ," 83,350 ",Korea,
다원자산운용,Mutual,서울,0, 0 ," 4,938 ",Korea,
다인자산운용,Mutual,서울,0, 0 , 424 ,Korea,
대덕자산운용,Mutual,서울,0, 0 , 320 ,Korea,
대신자산운용,Mutual,서울,0, 8 ," 116,801 ",Korea,
더글로벌자산운용,Mutual,서울,0, 0 , 378 ,Korea,
더넥스트자산운용,Mutual,서울,0, 0 , 103 ,Korea,
더다움자산운용,Mutual,서울,0, 0 , 177 ,Korea,
더블유더블유지자산운용,Mutual,서울,0, 0 , 930 ,Korea,
더블유자산운용,Mutual,서울,0, 0 ," 5,041 ",Korea,
더제이자산운용,Mutual,서울,0, 4 ," 49,593 ",Korea,
더퍼블릭자산운용,Mutual,서울,0, 0 , 137 ,Korea,
더퍼스트자산운용,Mutual,서울,0, 0 , 392 ,Korea,
델타자산운용,Mutual,서울,0, 0 , 13 ,Korea,
도미넌트자산운용,Mutual,서울,0, 0 , 869 ,Korea,
두나미스자산운용,Mutual,서울,0, 0 , 562 ,Korea,
디더블유에스자산운용,Mutual,서울,0, 5 ," 76,815 ",Korea,
디블록자산운용,Mutual,서울,0, 0 , 20 ,Korea,
디비아이자산운용,Mutual,서울,0, 0 , 303 ,Korea,
디비자산운용,Mutual,서울,0, 40 ," 553,753 ",Korea,
디에스자산운용,Mutual,서울,0, 1 ," 12,774 ",Korea,
디에이치지자산운용,Mutual,서울,0, 0 , 89 ,Korea,
디오션자산운용,Mutual,서울,0, 0 , 179 ,Korea,
디와이자산운용,Mutual,서울,0, 0 , 361 ,Korea,
디파인자산운용,Mutual,서울,0, 0 , 329 ,Korea,
라살자산운용,Mutual,서울,0, 0 ," 4,176 ",Korea,
라이노스자산운용,Mutual,서울,0, 0 ," 2,802 ",Korea,
라이언자산운용,Mutual,서울,0, 0 ," 3,791 ",Korea,
라이크자산운용,Mutual,서울,0, 0 , 131 ,Korea,
라이프자산운용,Mutual,서울,0, 1 ," 19,149 ",Korea,
라쿤자산운용,Mutual,서울,0, 0 , 684 ,Korea,
람다자산운용,Mutual,서울,0, 0 , 389 ,Korea,
레드애플자산운용,Mutual,서울,0, 0 , 143 ,Korea,
레드와인자산운용,Mutual,서울,0, 0 , 233 ,Korea,
레이크자산운용,Mutual,서울,0, 0 , 650 ,Korea,
레인메이커자산운용,Mutual,서울,0, 0 ," 2,266 ",Korea,
로고스투자운용,Mutual,서울,0, - , - ,Korea,
로만자산운용,Mutual,서울,0, 0 , 901 ,Korea,
로버스트자산운용,Mutual,서울,0, 0 ," 1,831 ",Korea,
루트엔글로벌자산운용,Mutual,서울,0, 0 , 597 ,Korea,
르네상스자산운용,Mutual,서울,0, 0 ," 2,230 ",Korea,
르퓨쳐자산운용,Mutual,서울,0, 0 , 435 ,Korea,
리딩자산운용,Mutual,서울,0, 0 ," 2,298 ",Korea,
리딩투자증권,Mutual,서울,0, 1 ," 7,044 ",Korea,
리버스톤자산운용,Mutual,서울,0, 0 , 206 ,Korea,
리버티자산운용,Mutual,서울,0, 0 , 61 ,Korea,
리운자산운용,Mutual,서울,0, 0 ," 1,875 ",Korea,
리치먼드자산운용,Mutual,서울,0, 0 ," 2,589 ",Korea,
리치자산운용,Mutual,서울,0, 0 , 145 ,Korea,
리커버리자산운용,Mutual,서울,0, 0 , 195 ,Korea,
리코자산운용,Mutual,서울,0, 0 ," 2,249 ",Korea,
리판자산운용,Mutual,서울,0, 0 , 585 ,Korea,
린드먼파트너스자산운용,Mutual,서울,0, - , - ,Korea,
릴라이언자산운용,Mutual,서울,0, 0 , 746 ,Korea,
마르스자산운용,Mutual,서울,0, 0 , 355 ,Korea,
마스터자산운용,Mutual,서울,0, 0 , 917 ,Korea,
마스턴투자운용,Mutual,서울,0, 3 ," 44,390 ",Korea,
마스트파트너스자산운용,Mutual,서울,0, 0 , 242 ,Korea,
마운틴자산운용,Mutual,서울,0, 0 , 225 ,Korea,
마이다스에셋자산운용,Mutual,서울,0, 17 ," 237,334 ",Korea,
마인드자산운용,Mutual,서울,0, 0 , 223 ,Korea,
마일스톤자산운용,Mutual,서울,0, 0 ," 3,605 ",Korea,
마제스티자산운용,Mutual,서울,0, 0 , 254 ,Korea,
마크자산운용,Mutual,서울,0, 0 ," 1,125 ",Korea,
맥쿼리자산운용,Mutual,서울,0, 3 ," 46,331 ",Korea,
맨하탄서밋자산운용,Mutual,서울,0, 0 , 56 ,Korea,
머스트자산운용,Mutual,서울,0, 0 ," 1,864 ",Korea,
머치앤모어자산운용,Mutual,서울,0, 0 , 11 ,Korea,
머큐리자산운용,Mutual,서울,0, 0 , 277 ,Korea,
메리츠대체투자운용,Mutual,서울,0, - , - ,Korea,
메이븐자산운용,Mutual,서울,0, 0 , 213 ,Korea,
메이어스자산운용,Mutual,서울,0, 0 , 198 ,Korea,
메자닌플러스자산운용,Mutual,서울,0, 0 , 327 ,Korea,
메테우스자산운용,Mutual,서울,0, 0 ," 5,708 ",Korea,
멜론자산운용,Mutual,서울,0, 0 ," 2,380 ",Korea,
모다자산운용,Mutual,서울,0, 0 , 5 ,Korea,
모루자산운용,Mutual,서울,0, 0 , 512 ,Korea,
모비딕자산운용,Mutual,서울,0, 0 , 769 ,Korea,
모티브자산운용,Mutual,서울,0, 0 , 413 ,Korea,
문스톤자산운용,Mutual,서울,0, 0 , 263 ,Korea,
미래에셋자산운용,Mutual,서울,0, 90 ," 1,256,138 ",Korea,
바로자산운용,Mutual,서울,0, 0 ," 5,241 ",Korea,
밸류시스템자산운용,Mutual,서울,0, 0 ," 3,344 ",Korea,
밸류파트너스자산운용,Mutual,서울,0, 0 , 438 ,Korea,
베네투스자산운용,Mutual,서울,0, 0 , 204 ,Korea,
베스타스자산운용,Mutual,서울,0, 0 ," 2,184 ",Korea,
베아투스자산운용,Mutual,서울,0, 0 , 443 ,Korea,
베어링자산운용,Mutual,서울,0, 12 ," 174,880 ",Korea,
베이직자산운용,Mutual,서울,0, 0 , 139 ,Korea,
벤코어인베스트먼츠자산운용,Mutual,서울,0, 0 , 328 ,Korea,
벨에포크자산운용,Mutual,서울,0, 0 , 145 ,Korea,
보고펀드자산운용,Mutual,서울,0, 0 ," 5,957 ",Korea,
볼트자산운용,Mutual,서울,0, 0 ," 1,931 ",Korea,
브라이트자산운용,Mutual,서울,0, 0 , 705 ,Korea,
브라이튼자산운용,Mutual,서울,0, 0 ," 1,370 ",Korea,
브라흐마자산운용,Mutual,서울,0, 0 , 188 ,Korea,
브레인자산운용,Mutual,서울,0, 0 ," 5,532 ",Korea,
브로드하이자산운용,Mutual,서울,0, 0 , 380 ,Korea,
브룩필드자산운용코리아,Mutual,서울,0, 0 ," 6,596 ",Korea,
브이아이자산운용,Mutual,서울,0, 9 ," 125,940 ",Korea,
브이아이피자산운용,Mutual,서울,0, 5 ," 69,429 ",Korea,
브이앤에스자산운용,Mutual,서울,0, 0 ," 6,427 ",Korea,
브이엠자산운용,Mutual,서울,0, 0 ," 2,815 ",Korea,
브이자산운용,Mutual,서울,0, 0 ," 3,837 ",Korea,
블래쉬자산운용,Mutual,서울,0, 0 ," 1,369 ",Korea,
블랙록자산운용,Mutual,서울,0, - , - ,Korea,
블랙보드자산운용,Mutual,서울,0, 0 , 105 ,Korea,
블랙펄자산운용,Mutual,서울,0, 0 , 222 ,Korea,
블루코브자산운용,Mutual,서울,0, 0 ," 5,267 ",Korea,
블리츠자산운용,Mutual,서울,0, 0 ," 4,188 ",Korea,
비앤아이자산운용,Mutual,서울,0, 0 , 535 ,Korea,
비엔비자산운용,Mutual,서울,0, 0 , 875 ,Korea,
비엔케이자산운용,Mutual,서울,0, 10 ," 135,929 ",Korea,
비욘드자산운용,Mutual,서울,0, 0 , 428 ,Korea,
비전자산운용,Mutual,서울,0, 0 ," 1,783 ",Korea,
비케이피엘자산운용,Mutual,서울,0, 0 ," 2,376 ",Korea,
비피자산운용,Mutual,서울,0, 0 , 401 ,Korea,
빌리언폴드자산운용,Mutual,서울,0, 0 ," 1,550 ",Korea,
사람사점영자산운용,Mutual,서울,0, 0 ," 1,958 ",Korea,
산은인프라자산운용,Mutual,서울,0, 9 ," 127,539 ",Korea,
삼성액티브자산운용,Mutual,서울,0, 6 ," 77,995 ",Korea,
삼성에스알에이자산운용,Mutual,서울,0, 7 ," 98,664 ",Korea,
삼성자산운용,Mutual,서울,0, 216 ," 3,017,719 ",Korea,
삼성헤지자산운용,Mutual,서울,0, - , - ,Korea,
삼천리자산운용,Mutual,서울,0, 0 , 180 ,Korea,
새봄자산운용,Mutual,서울,0, 0 , 140 ,Korea,
샘자산운용,Mutual,서울,0, 0 , 531 ,Korea,
서울에셋매니지먼트,Mutual,서울,0, 0 ," 1,060 ",Korea,
서진자산운용,Mutual,서울,0, 0 , 130 ,Korea,
선스피어자산운용,Mutual,서울,0, 0 , 293 ,Korea,
센터피스자산운용,Mutual,서울,0, 0 , 58 ,Korea,
셀레니언자산운용,Mutual,서울,0, 0 , 465 ,Korea,
솔리드런자산운용,Mutual,서울,0, 0 , 131 ,Korea,
수성자산운용,Mutual,서울,0, 0 ," 6,612 ",Korea,
슈니크자산운용,Mutual,서울,0, 0 , 601 ,Korea,
슈로더투자신탁운용,Mutual,서울,0, 0 , 1 ,Korea,
스마일게이트자산운용,Mutual,서울,0, 0 ," 1,584 ",Korea,
스카이워크자산운용,Mutual,서울,0, 0 ," 1,015 ",Korea,
스타로드자산운용,Mutual,서울,0, 0 ," 3,120 ",Korea,
스타퀘스트자산운용,Mutual,서울,0, 0 , 966 ,Korea,
스톤브릿지자산운용,Mutual,서울,0, 0 , 971 ,Korea,
스틱얼터너티브자산운용,Mutual,서울,0, 1 ," 7,705 ",Korea,
스팍스자산운용,Mutual,서울,0, 1 ," 13,837 ",Korea,
스페이스자산운용,Mutual,서울,0, 0 , 205 ,Korea,
스피네이커자산운용,Mutual,서울,0, 0 , 378 ,Korea,
슬기자산운용,Mutual,서울,0, 0 ," 1,798 ",Korea,
시그니처자산운용,Mutual,서울,0, 0 , 493 ,Korea,
시드인베스트먼트자산운용,Mutual,서울,0, 0 , 692 ,Korea,
시몬느자산운용,Mutual,서울,0, 0 , 311 ,Korea,
신라자산운용,Mutual,서울,0, (0), -3 ,Korea,
신영자산운용,Mutual,서울,0, 4 ," 62,041 ",Korea,
신영증권,Mutual,서울,0, 0 , 583 ,Korea,
신한자산운용,Mutual,서울,0, 73 ," 1,027,132 ",Korea,
신한투자증권,Mutual,서울,0, 2 ," 24,932 ",Korea,
써밋자산운용,Mutual,서울,0, 0 , 111 ,Korea,
썬앤트리자산운용,Mutual,서울,0, 0 , 508 ,Korea,
씨비알이인베스트먼트매니지먼트자산운용,Mutual,서울,0, 1 ," 10,151 ",Korea,
씨스퀘어자산운용,Mutual,서울,0, 0 ," 2,585 ",Korea,
씨앗자산운용,Mutual,서울,0, 0 ," 1,059 ",Korea,
