회사명,AUM,"펀드
매니저수",설립일자,주소,TEL,WEB주소
골든브릿지자산운용,872,1,1999-02-09,"서울특별시 강서구 개화동로 29길 29, 영원오피스텔 202호 (방화동, 07620)",02-360-9500,http://www.gbam.co.kr
교보악사자산운용,"135,430",21,1988-07-07,"서울특별시 종로구 종로 1 (종로1가, 교보생명빌딩) 15층",02-767-9600,https://www.kyoboaxa-im.co.kr
다올자산운용,"46,430",17,1999-09-11,"서울특별시 영등포구 여의나루로 60 (여의도동 35‑1), 포스트타워 28층",02-6711-9400,https://www.daolfund.com
대신자산운용,"26,843",16,1988-03-24,"서울특별시 중구 삼일대로 343 (저동1가, 대신파이낸스센터)",02-769-3449,https://asset.daishin.com
더제이자산운용,478,9,2007-10-22,"서울특별시 영등포구 국제금융로 8길 6, 11층 (여의도동, 신영증권 별관빌딩)",02-780-0360,http://thejasset.com
디더블유에스자산운용,183,2,2002-02-22,"서울특별시 종로구 우정국로 26, 11층 (공평동, 센트로폴리스)",02-2121-1500,https://www.dws.com/kr
디비자산운용,"44,909",27,1997-01-10,"서울특별시 영등포구 여의대로 24, 전경련회관 41층",02-3011-5500,https://www.dbam.co.kr
디에스자산운용,770,2,2008-04-15,"서울특별시 영등포구 여의대로 70, 신한금융투자타워 21층",02-6296-7000,https://www.dsasset.com
마이다스에셋자산운용,"21,244",18,1999-02-01,서울특별시 종로구 경희궁길 20,02-3787-3500,https://www.midasasset.com
맥쿼리자산운용,"32,972",2,2002-10-17,"서울 종로구 우정국로 26, A동 18층 (센트로폴리스)",02-3705-8500,https://www.macquarie.com/kr
머스트자산운용,"1,626",2,2015-09-04,"서울 강남구 언주로30길 39, 3층 (린스퀘어)",02-578-5080,https://www.mustinvestment.com
미래에셋자산운용,"1,006,554",83,1997-07-18,서울 종로구 종로33 (더 그랑서울 TOWER1) 13층,1588-1888,https://www.miraeasset.co.kr
밸류시스템자산운용,104,1,2009-08-17,"서울 강남구 선릉로112길 60, 코너스톤빌딩",02-568-1500,https://www.valuesystemam.com
베어링자산운용,"8,967",11,1988-02-23,"서울 영등포구 국제금융로 10, 서울국제금융센터 Three IFC 16층",02-3788-0500,https://www.barings.com/ko-kr
브레인자산운용,263,2,2009-02-26,"서울 강남구 테헤란로 447, KB우준타워 6층",02-6277-5000,https://www.brainib.com
브이아이자산운용,"23,593",20,1999-02-25,"서울 서초구 사평대로 343, 제일약품빌딩 5층",02-727-2700,https://www.viamc.kr
브이아이피자산운용,"7,105",4,1999-07-09,"서울특별시 서초구 사평대로 343, 5층 (반포동, 제일약품빌딩)",02-6202-8150,https://vipasset.co.kr
브이자산운용,"2,671",4,1988-04-25,서울특별시 강남구 테헤란로 447 KB우준타워 6층,02-3703-9800,https://www.vasset.co.kr
비엔케이자산운용,"49,076",15,2008-07-15,"서울시 영등포구 국제금융로2길 32, 21층(여의도 파이낸스타워)  ",02-401-7100,https://www.bnkam.co.kr
삼성액티브자산운용,"7,617",13,2017-01-01,"서울 서초구 서초대로74길 11, 삼성전자빌딩 7층",02-3774-7775,https://www.samsungactive.co.kr
삼성자산운용,"1,226,449",57,1998-09-15,서울 서초구 서초대로74길 11 (삼성자산운용),02-3774-7600,https://www.samsungam.com
슈로더투자신탁운용,"4,806",1,2001-05-21,"서울 종로구 우정국로 26, 센트로폴리스 A동 15층",02-3783-3410,https://www.im-fund.com
스팍스자산운용,424,3,1999-06-16,"서울 종로구 새문안로 82, 2층 (에스타워)",02-570-1600,https://www.sparxkorea.com
신영자산운용,"54,312",14,1996-08-07,"서울 영등포구 국제금융로 8길 6, 신영빌딩 (6~7층)",02-2004-9500,https://www.syfund.co.kr
신한자산운용,"317,746",54,1996-08-01,"서울 영등포구 의사당대로 96, TP Tower 23~26층",02-767-5777,https://www.shinhanfund.com
아이비케이자산운용,"126,341",15,2004-10-26,"서울 영등포구 은행로 30, 중소기업중앙회 신관 11층",02-727-8800,https://www.ibkasset.com
아이엠에셋자산운용,"47,453",12,2000-03-08,"서울 영등포구 의사당대로 97, 교보증권빌딩 14층",02-782-6000,https://www.i-masset.com
알파자산운용,401,2,2002-07-24,"서울 영등포구 국제금융로8길 31 (여의도동) 8층 (여의도동, SK증권빌딩)",02-6715-5800,https://www.alphaam.co.kr
얼라이언스번스틴자산운용,"20,220",2,2007-10-09,"서울 중구 세종대로 136, Seoul Finance Center 14층",02-6320-7500,https://www.alliancebernstein.co.kr
에셋플러스자산운용,"13,762",8,1999-02-24,"경기 성남시 분당구 판교역로192번길 14, 리치투게더센터",02-2011-5000,https://www.assetplus.co.kr
에이치디씨자산운용,"1,362",7,2000-06-27,"서울 영등포구 국제금융로8길 11, 대영빌딩 2층",02-6220-3490,https://www.hdcfund.co.kr
에이케이파트너스자산운용,1,2,1999-08-06,"서울 강남구 테헤란로 123, AK타워 7층",02-2055-1234,http://www.akpartners.co.kr
엔에이치아문디자산운용,"170,346",31,2003-01-28,"서울 영등포구 국제금융로8길 2, 농협재단빌딩 10층",02-317-5800,https://www.nh-amundi.com
우리자산운용,"236,684",27,2000-07-24,"서울 영등포구 여의대로 108, 파크원 타워1 37·44층",02-6730-2000,https://www.woam.co.kr
웰컴자산운용,"5,573",7,2008-09-03,"서울 용산구 한강대로 148, 웰컴금융타워 15층",02-6353-7300,https://www.welcomeam.co.kr
유경피에스지자산운용,"1,707",4,1999-05-07,"서울 영등포구 국제금융로6길 38, 화재보험협회빌딩 14층",02-2090-3300,https://www.ykpsg.com
유리자산운용,"8,895",10,1998-10-28,"서울 영등포구 국제금융로6길 17, 부국증권빌딩 9층",02-2168-7900,https://www.yurifund.co.kr
유진자산운용,"60,829",10,1989-09-28,"서울 영등포구 국제금융로 56, 코트야드메리어트 남서울 20층",02-2129-3300,https://www.eugenefn.com
이지스자산운용,"6,080",15,2010-03-22,"서울 중구 세종대로 136, 서울파이낸스센터 20층",02-6959-3100,https://www.igisam.com
카디안자산운용,"12,163",16,2001-02-01,"서울 영등포구 국제금융로 10, One IFC 15층",02-2126-3500,https://www.kadianam.com
칸서스자산운용,706,5,2004-05-10,"서울 영등포구 국제금융로 8길 27-8, 동북빌딩 4층",02-2077-5000,https://www.consus.co.kr
케이비자산운용,"442,773",62,1998-04-28,"서울 영등포구 국제금융로 8길 26, KB자산운용타워",02-2167-8200,https://www.kbam.co.kr
케이씨지아이자산운용,"22,928",6,2008-05-06,"서울 강남구 테헤란로 311, 아남타워 18층",02-6205-0160,https://www.kcgi-am.com
코레이트자산운용,"46,733",3,1987-11-04,"서울 영등포구 국제금융로 70, 미원빌딩 5층",02-3774-5000,http://www.koreit.co.kr
키움투자자산운용,"202,807",35,1988-03-26,"서울 영등포구 국제금융로2길 28, 키움파이낸스스퀘어 12층",02-789-0300,https://www.kiamco.co.kr
