운용사,성명,총 운용경력,현회사 운용경력,펀드수,"설정원본
(백만원)",,,,
교보악사자산운용,권용범,10년7개월,10년7개월,11,"1,624,589",,,,
교보악사자산운용,김경석,10년2개월,4년2개월,8,"8,280,311",,,,
교보악사자산운용,김솔,2년1개월,2년1개월,1,26,,,,
교보악사자산운용,박세량,11년4개월,11년4개월,4,"12,561",,,,
교보악사자산운용,박영열,15년6개월,8년7개월,22,"175,742",,,,
교보악사자산운용,이병수,11년3개월,9년2개월,9,"474,577",,,,
교보악사자산운용,이용신,13년4개월,6년1개월,2,"9,325",,,,
교보악사자산운용,이인후,3년8개월,3년8개월,9,"80,867",,,,
교보악사자산운용,임지영,17년5개월,17년5개월,12,"1,004,729",,,,
교보악사자산운용,장석진,2년1개월,1년2개월,2,"20,423",,,,
교보악사자산운용,장영,0년4개월,0년4개월,9,"21,424",,,,
교보악사자산운용,전병기,6년9개월,4년3개월,5,"8,462",,,,
교보악사자산운용,정지웅,1년9개월,1년9개월,2,"330,624",,,,
교보악사자산운용,주민근,7년0개월,0년1개월,1,"7,015",,,,
교보악사자산운용,최동철,1년6개월,0년8개월,1,"130,633",,,,
교보악사자산운용,최상수,0년10개월,0년10개월,1,"16,086",,,,
교보악사자산운용,최지원,0년7개월,0년7개월,1,"10,018",,,,
교보악사자산운용,한형기,7년5개월,0년3개월,5,"35,735",,,,
교보악사자산운용,허승엽,5년7개월,4년0개월,5,"8,226,904",,,,
교보악사자산운용,홍보화,5년9개월,5년9개월,7,"8,402,128",,,,
교보악사자산운용,홍장희,20년4개월,8년0개월,5,"1,755,950",,,,
골든브릿지자산운용,조국진,3년2개월,3년2개월,9,87293,,,,
다올자산운용,구경서,12년5개월,2년11개월,4," 438,348 ",,,,
다올자산운용,김지성,4년4개월,4년4개월,9," 130,281 ",,,,
다올자산운용,박은지,1년1개월,0년2개월,4," 72,675 ",,,,
다올자산운용,성준석,7년11개월,6년1개월,2," 65,901 ",,,,
다올자산운용,송태우,7년3개월,0년2개월,7," 90,412 ",,,,
다올자산운용,우형진,13년9개월,6년10개월,18," 3,078,943 ",,,,
