운용사,성명,총 운용경력,현회사 운용경력,펀드수,설정원본
DB자산운용,JUNG HYEIN,2년7개월,0년4개월,6,75151
DB자산운용,박성식,0년2개월,0년2개월,2,10949
DB자산운용,박승찬,1년2개월,1년2개월,5,36384
DB자산운용,박일규,3년5개월,0년2개월,4,98251
DB자산운용,성민형,6년1개월,6년1개월,2,3546715
DB자산운용,손종민,0년2개월,0년2개월,6,5824
DB자산운용,염동훈,7년3개월,5년8개월,14,119680
DB자산운용,이상길,1년3개월,1년3개월,11,236705
DB자산운용,이수현,1년1개월,1년1개월,5,40568
DB자산운용,이승구,10년11개월,0년1개월,2,14094
DB자산운용,이승택,2년7개월,2년7개월,6,44467
DB자산운용,이우중,1년10개월,1년10개월,8,398342
DB자산운용,이재권,3년4개월,3년4개월,3,46840
DB자산운용,이주경,5년1개월,3년5개월,5,149939
DB자산운용,이진욱,10년3개월,2년9개월,5,70315
DB자산운용,이태희,11년0개월,4년2개월,4,3837083
DB자산운용,전상곤,7년5개월,2년11개월,5,166710
DB자산운용,정승호,13년1개월,6년2개월,12,252226
DB자산운용,정해관,1년5개월,1년5개월,5,40199
DB자산운용,조항준,4년10개월,2년9개월,8,86976
DB자산운용,최정윤,0년5개월,0년5개월,1,4268
DB자산운용,홍은주,0년10개월,0년10개월,2,23716
DB자산운용,홍은표,13년5개월,13년3개월,21,108061
디에스자산운용,김창진,0년0개월,0년0개월,1,71438
디에스자산운용,황현철,1년3개월,1년3개월,1,71438
마이다스에셋자산운용,김연우,4년6개월,4년6개월,3,889582
마이다스에셋자산운용,김영준,3년5개월,0년4개월,1,213461
마이다스에셋자산운용,김예리,15년10개월,12년1개월,11,238266
마이다스에셋자산운용,김인수,0년1개월,0년1개월,3,124080
마이다스에셋자산운용,김재현,4년2개월,4년2개월,4,53046
마이다스에셋자산운용,김현중,13년3개월,13년3개월,1,22941
마이다스에셋자산운용,서준현,0년8개월,0년4개월,2,58537
마이다스에셋자산운용,신원상,0년1개월,0년1개월,7,45300
마이다스에셋자산운용,신진호,13년3개월,13년3개월,7,268982
마이다스에셋자산운용,오남훈,13년3개월,13년3개월,13,121347
마이다스에셋자산운용,유주형,10년0개월,10년0개월,14,151355
마이다스에셋자산운용,이천주,17년6개월,4년2개월,14,242722
마이다스에셋자산운용,이호영,3년2개월,1년8개월,8,120679
마이다스에셋자산운용,조웅배,0년8개월,0년8개월,4,30814
마이다스에셋자산운용,채광국,0년4개월,0년4개월,1,50256
맥쿼리자산운용,박진욱,5년10개월,5년10개월,1,3297209
맥쿼리자산운용,정재우,9년4개월,9년4개월,1,3297209
