운용사,성명,총 운용경력,현회사 운용경력,펀드수,설정원본
미래에셋자산운용,구용덕,18년7개월,18년1개월,6,162840
미래에셋자산운용,권태오,11년9개월,7년6개월,3,2922218
미래에셋자산운용,김건중,5년1개월,5년1개월,2,126490
미래에셋자산운용,김남호,5년0개월,5년0개월,24,19320763
미래에셋자산운용,김도로,0년7개월,0년7개월,3,2498952
미래에셋자산운용,김동명,4년11개월,0년3개월,2,2028664
미래에셋자산운용,김동환,3년0개월,3년0개월,4,59924
미래에셋자산운용,김명준,10년2개월,10년2개월,8,481520
미래에셋자산운용,김미혜,3년7개월,3년7개월,3,381935
미래에셋자산운용,김민수,0년10개월,0년10개월,1,5465135
미래에셋자산운용,김병석,5년5개월,4년3개월,27,3515084
미래에셋자산운용,김세환,5년4개월,5년4개월,1,135036
미래에셋자산운용,김수명,2년10개월,2년10개월,22,5924250
미래에셋자산운용,김승범,9년4개월,8년9개월,1,18728
미래에셋자산운용,김시은,0년1개월,0년1개월,1,309510
미래에셋자산운용,김예강,0년4개월,0년4개월,1,21082
미래에셋자산운용,김윤정,7년6개월,7년6개월,9,310696
미래에셋자산운용,김정수,11년9개월,11년9개월,3,63951
미래에셋자산운용,김정욱,8년5개월,8년5개월,11,4691280
미래에셋자산운용,김지연,5년6개월,5년6개월,43,4148201
미래에셋자산운용,김진하,17년3개월,17년3개월,6,244211
미래에셋자산운용,김태영,0년0개월,0년0개월,1,515231
미래에셋자산운용,김휘겸,1년8개월,1년8개월,24,19473870
미래에셋자산운용,류연지,2년3개월,0년1개월,1,309510
미래에셋자산운용,박건웅,1년10개월,1년10개월,1,226051
미래에셋자산운용,박경륜,7년2개월,7년2개월,21,188646
미래에셋자산운용,박상헌,0년7개월,0년7개월,1,8346
미래에셋자산운용,박주선,1년10개월,1년10개월,3,451533
미래에셋자산운용,박현수,2년5개월,2년5개월,3,89152
미래에셋자산운용,백종원,0년5개월,0년5개월,12,426076
미래에셋자산운용,서윤석,5년9개월,5년9개월,2,39897
미래에셋자산운용,서재춘,19년9개월,19년9개월,9,958503
미래에셋자산운용,손재현,0년7개월,0년7개월,1,8346
미래에셋자산운용,송시형,9년8개월,9년8개월,1,3654
미래에셋자산운용,송재원,2년8개월,2년8개월,1,13509
미래에셋자산운용,송진용,19년0개월,19년0개월,331,9071218
미래에셋자산운용,신승우,4년6개월,4년6개월,45,14153289
미래에셋자산운용,신재훈,15년6개월,15년6개월,4,587423
미래에셋자산운용,유의형,5년0개월,5년0개월,4,392870
미래에셋자산운용,윤병호,10년10개월,10년10개월,2,116560
미래에셋자산운용,이도선,2년8개월,2년8개월,25,16599543
미래에셋자산운용,이상명,9년3개월,9년3개월,2,77351
미래에셋자산운용,이슬,7년0개월,7년0개월,4,56457
미래에셋자산운용,이원준,4년3개월,4년3개월,1,43732
미래에셋자산운용,이정범,6년4개월,6년4개월,3,49695
미래에셋자산운용,이정환,12년6개월,4년2개월,2,113317
미래에셋자산운용,이종민,1년9개월,1년9개월,45,8743078
미래에셋자산운용,이창헌,9년0개월,9년0개월,2,114269
미래에셋자산운용,이현경,17년10개월,17년5개월,7,677461
미래에셋자산운용,이호년,0년10개월,0년10개월,28,3566926
