운용사,성명,총 운용경력,현회사 운용경력,펀드수,설정원본
골든브릿지자산운용,조국진,3년2개월,3년2개월,9,87293
다올자산운용,구경서,12년5개월,2년11개월,4,438348
다올자산운용,김지성,4년4개월,4년4개월,9,130281
다올자산운용,박은지,1년1개월,0년2개월,4,72675
다올자산운용,성준석,7년11개월,6년1개월,2,65901
다올자산운용,송태우,7년3개월,0년2개월,7,90412
다올자산운용,우형진,13년9개월,6년10개월,18,3078943
대신자산운용,강명숙,2년7개월,1년11개월,11,134880
대신자산운용,김우주,6년6개월,1년6개월,2,13438
대신자산운용,김종현,3년1개월,3년1개월,9,87277
대신자산운용,김회현,6년0개월,6년0개월,4,2311322
대신자산운용,나중혁,2년4개월,2년4개월,10,108773
DB자산운용,권순규,0년11개월,0년11개월,2,23907
DB자산운용,김다혜,11년3개월,10년1개월,8,44528
DB자산운용,김은희,7년4개월,6년1개월,1,107869
마이다스에셋자산운용,기민수,12년2개월,5년7개월,18,1476145
마이다스에셋자산운용,김기태,0년3개월,0년3개월,1,43831
마이다스에셋자산운용,김민수,13년6개월,7년5개월,15,574753
미래에셋자산운용,고영서,3년6개월,3년6개월,2,231027
미래에셋자산운용,구본원,2년0개월,2년0개월,1,23395
