name,type,hqLocation,area,AUM
Vanguard,Index Funds ETFs Mutual Funds,Malvern PA,US,8500
Vanguard Group,Mutual Funds ETFs Retirement,Malvern PA,US,7800
Fidelity,Mutual Funds Index Funds ETFs,Boston MA,US,4900
Fidelity Investments,Mutual Funds Retirement Brokerage,Boston MA,US,4500
State Street Global Advisors,ETFs Institutional Pension,Boston MA,US,4100
J.P. Morgan Asset Management,Mutual Funds Pension Institutional,New York NY,US,3200
Capital Group (American Funds),Mutual Funds Retirement,Los Angeles CA,US,2800
J.P. Morgan,Asset Management Investment Banking,New York NY,US,2800
Goldman Sachs Asset Management,Institutional Hedge Funds Private Wealth,New York NY,US,2600
American Funds,Mutual Funds Target Date Funds,Los Angeles CA,US,2300
PIMCO,Bond Funds Fixed Income,Newport Beach CA,US,2200
Invesco,ETFs Mutual Funds Alternative Investments,Atlanta GA,US,1600
Franklin Templeton,Mutual Funds ETFs Global Strategies,San Mateo CA,US,1500
T. Rowe Price,Mutual Funds Retirement,Baltimore MD,US,1400
Wellington Management,Institutional Mutual Funds,Boston MA,US,1400
PGIM (Prudential Financial),Institutional Retirement Real Estate,Newark NJ,US,1400
Northern Trust Asset Management,Institutional Pension ESG Strategies,Chicago IL,US,1300
Natixis Investment Managers,Global Strategies ESG Mutual Funds,Paris,EU,1140
Nuveen,Institutional ESG Retirement,Chicago IL,US,1100
Schroders,Institutional ESG Alternatives,London,EU,990
AXA Investment Managers,Insurance ESG Alternatives,Paris,EU,933
Manulife Investment Management,Institutional ESG Real Assets,Boston MA,US,800
Federated Hermes,Mutual Funds ESG Institutional,Pittsburgh PA,US,701
Principal Global Investors,Pension Retirement Mutual Funds,Des Moines IA,US,700
Dimensional Fund Advisors,Factor Investing Mutual Funds,Austin TX,US,700
AB (AllianceBernstein),Institutional Mutual Funds,Nashville TN,US,694
Ameriprise Financial (Columbia Threadneedle),Mutual Funds Wealth Management,Minneapolis MN,US,650
HSBC Global Asset Management,Institutional ESG Fixed Income,Hong Kong,Hong Kong,620
MFS Investment Management,Mutual Funds Retirement,Boston MA,US,600
Allianz Global Investors,ESG Multi-Asset Global Strategies,Frankfurt,EU,600
Allianz Global Investors (HK),Multi-asset ESG Global Equity,Hong Kong,Hong Kong,600
Eaton Vance (Morgan Stanley IM),Mutual Funds Wealth Management,Boston MA,US,500
Nomura Asset Management,Japan Equity Institutional,Tokyo,Other,500
Neuberger Berman,Private Wealth Institutional,New York NY,US,460
RBC Global Asset Management,Mutual Funds Global Strategies,Minneapolis MN,US,430
Barings LLC,Institutional Private Credit,Charlotte NC,US,391
SEI Investments,Institutional Retirement Solutions,Oaks PA,US,389
Western Asset Management,Fixed Income Institutional,Pasadena CA,US,385
Aviva Investors,Institutional ESG,London,EU,350
Loomis Sayles & Company,Institutional Multi-Asset,Boston MA,US,335
Voya Investment Management,Retirement Institutional,New York NY,US,330
MassMutual Investments,Retirement Insurance-Based,Springfield MA,US,320
Janus Henderson Investors,Mutual Funds Equities,Denver CO,US,308
Dodge & Cox,Mutual Funds Value Investing,San Francisco CA,US,300
Guggenheim Investments,Alternatives Fixed Income Institutional,New York NY,US,300
Baillie Gifford,Growth Investing Institutional Mutual Funds,Edinburgh,EU,300
China Asset Management Co.,Equity Fixed Income ETFs,Beijing,Other,300
E Fund Management (HK),China Equity Fixed Income Institutional,Hong Kong,Hong Kong,300
Nikko Asset Management,Asia Pacific Equities Mutual Funds,Tokyo,Other,280
Harvest Fund Management,China Equity Institutional,Beijing,Other,275
Samsung Asset Management,Mutual Funds ETFs Korea Equity,Seoul,Korea,250
Lazard Asset Management,Global Equities Institutional,New York NY,US,250
Pictet Asset Management,Thematic Investing ESG,Geneva,EU,250
ChinaAMC (HK),ETFs Mutual Funds China Focus,Hong Kong,Hong Kong,250
Mirae Asset Global Investments,ETFs Global Equities Alternatives,Seoul,Korea,245
Eastspring Investments,Mutual Funds ESG Asia Strategies,Singapore,Singapore,240
Lord Abbett,Mutual Funds Fixed Income,Jersey City NJ,US,225
Jennison Associates,Growth Equity Institutional,New York NY,US,224
TCW Group,Fixed Income Alternatives,Los Angeles CA,US,200
Affiliated Managers Group (AMG),Multi-boutique Institutional,West Palm Beach FL,US,200
Lion Global Investors,Institutional Asia Fixed Income,Singapore,Singapore,180
Raymond James Investment Management,Wealth Management Mutual Funds,St. Petersburg FL,US,175
Putnam Investments,Mutual Funds Retirement,Boston MA,US,170
Man Group,Hedge Funds Quant Strategies,London,EU,161
UOB Asset Management,Southeast Asia Equities Fixed Income,Singapore,Singapore,160
Value Partners Group,Asia Equity Hedge Fund Strategies,Hong Kong,Hong Kong,160
BMO Global Asset Management,Mutual Funds ESG,Chicago IL,US,160
PineBridge Investments,Institutional Emerging Markets,New York NY,US,153
Baird Advisors,Fixed Income Institutional,Milwaukee WI,US,150
Brown Advisory,Private Wealth ESG,Baltimore MD,US,140
KB Asset Management,Mutual Funds Fixed Income,Seoul,Korea,140
Fullerton Fund Management,Asia Bonds Equities,Singapore,Singapore,140
Renaissance Technologies,Quant Hedge Funds,East Setauket NY,US,130
Hanwha Asset Management,Mutual Funds Alternatives,Seoul,Korea,125
Principal Asset Management (Asia),Retirement Solutions Asia Focus,Hong Kong,Hong Kong,120
HSBC Jintrust Fund Management,China Mutual Funds,Shanghai,Other,120
Principal Hong Kong,Retirement Solutions MPF Schemes,Hong Kong,Hong Kong,120
AR Asset Management,Quant Strategies Equity,Tokyo,Other,110
CICC Asset Management (HK),Institutional China Equities,Hong Kong,Hong Kong,110
Ping An Asset Management (HK),Insurance Institutional China Strategies,Hong Kong,Hong Kong,105
DoubleLine Capital,Mutual Funds Fixed Income,Los Angeles CA,US,100
AIA Investment Management,Insurance Assets Asia Fixed Income,Hong Kong,Hong Kong,100
Woori Asset Management,Fixed Income Mutual Funds,Seoul,Korea,100
BOCI-Prudential Asset Management,China Fixed Income Mutual Funds,Hong Kong,Hong Kong,100
CSOP Asset Management,ETFs China Equities Index Funds,Hong Kong,Hong Kong,100
Samsung Active Asset Management,Active Equity Korea Focus,Seoul,Korea,98
Bank of Singapore Asset Management,Private Wealth Asia Equities,Singapore,Singapore,95
ICICI Prudential AMC,Retail Funds Fixed Income,Mumbai,Other,95
Harvest Global Investments,Mutual Funds ESG China Focus,Hong Kong,Hong Kong,95
KBStar Asset Management,ETFs Index Funds,Seoul,Korea,92
LaSalle Investment Management,Real Estate Institutional,Chicago IL,US,90
Skandinaviska Enskilda Banken (SEB),ESG Institutional,Stockholm,EU,90
Mirae Asset Securities,Trading Brokerage Asset Mgmt,Seoul,Korea,90
Hang Seng Investment Management,ETFs Index Funds Hong Kong Equities,Hong Kong,Hong Kong,90
China Southern Asset Management (HK),China Mutual Funds ETFs,Hong Kong,Hong Kong,90
OCBC Asset Management,Fixed Income Asia Equities,Singapore,Singapore,88
China Universal Asset Management (HK),Equities Fixed Income Institutional,Hong Kong,Hong Kong,88
OP Asset Management,Institutional ESG,Helsinki,EU,85
LGT Capital Partners,Private Equity Hedge Funds,Pfäffikon,EU,85
KTB Asset Management,Mutual Funds Structured Products,Seoul,Korea,85
BOCOM International Asset Management,China Fixed Income Equity,Hong Kong,Hong Kong,85
Haitong International Asset Management,Fixed Income Structured Products,Hong Kong,Hong Kong,82
Jupiter Asset Management,Mutual Funds ESG,London,EU,80
China Merchants Securities (HK),China Equity Wealth Management,Hong Kong,Hong Kong,80
CCB International Asset Management,Equities Fixed Income Institutional,Hong Kong,Hong Kong,78
ICBC Credit Suisse Asset Management (HK),China Mutual Funds Equities,Hong Kong,Hong Kong,77
Huatai-PineBridge (HK),Mutual Funds Institutional China Markets,Hong Kong,Hong Kong,72
Pine Street Group,Private Real Estate Alternatives,Seattle WA,US,70
GF International Investment Management,China Equities Fixed Income,Hong Kong,Hong Kong,70
ABCI Asset Management,China Equities Fixed Income,Hong Kong,Hong Kong,66
China Galaxy Asset Management (HK),Institutional Equities China Focus,Hong Kong,Hong Kong,65
Harbor Capital Advisors,Mutual Funds Sub-Advised,Chicago IL,US,63
Tianhong Asset Management (HK),Index Funds Fixed Income,Hong Kong,Hong Kong,62
Mapfre Asset Management,Insurance Mutual Funds,Madrid,EU,60
Bosera Asset Management (HK),China Equity Mutual Funds,Hong Kong,Hong Kong,60
BOC International Asset Management,Mutual Funds Wealth Management,Hong Kong,Hong Kong,60
Great Wall Fund Management (HK),China Fixed Income Mutual Funds,Hong Kong,Hong Kong,58
SinoPac Asset Management (Asia),Multi-asset Taiwan & China Focus,Hong Kong,Hong Kong,55
ABC International Asset Management,China Equity Wealth Management,Hong Kong,Hong Kong,55
China Everbright Asset Management,Fixed Income Multi-Strategy,Hong Kong,Hong Kong,53
Fubon Asset Management (HK),ETFs China Equity Fixed Income,Hong Kong,Hong Kong,52
Essence International Asset Management,Wealth Management China Focus,Hong Kong,Hong Kong,50
Guotai Junan Assets (Asia),China Equity Institutional,Hong Kong,Hong Kong,50
CMS Asset Management (HK),Institutional Multi-Asset,Hong Kong,Hong Kong,49
Galaxy Asset Management (Asia),Institutional Multi-Asset,Hong Kong,Hong Kong,48
Cinda International Asset Management,Wealth Management Fixed Income,Hong Kong,Hong Kong,47
GF Asset Management (HK),Fixed Income Institutional,Hong Kong,Hong Kong,46
Dongxing Securities (HK) Asset Management,Institutional China Focus,Hong Kong,Hong Kong,45
Shenwan Hongyuan Asset Management (Asia),China Equity Structured Products,Hong Kong,Hong Kong,42
Great China Asset Management,Fixed Income Balanced Funds,Hong Kong,Hong Kong,40
Yuexiu Asset Management,Institutional China Fixed Income,Hong Kong,Hong Kong,39
Everbright Sun Hung Kai Asset Mgmt,Discretionary Portfolio Alternatives,Hong Kong,Hong Kong,38
AMTD Asset Management,Private Wealth Fixed Income,Hong Kong,Hong Kong,37
Sinopac Securities Asset Management (Asia),Taiwan/China Equity Focus,Hong Kong,Hong Kong,36
Northern Cross,Equity Institutional,Boston MA,US,35
China Industrial Securities Intl AM,Equity Wealth Management,Hong Kong,Hong Kong,35
Huishang Asset Management (Asia),Institutional China Credit,Hong Kong,Hong Kong,34
ZHONGTAI International Asset Mgmt,Multi-strategy Asia Focus,Hong Kong,Hong Kong,33
Shenzhen Qianhai Financial Holdings,Private Equity China Investments,Hong Kong,Hong Kong,32
